,test_image,response,resptime,observer,group,type,noise
15,orig3p9.png,9.0,2.163827,Person3,wenig Detailgrad,Original,0
22,orig3p10.png,10.0,1.9314,Person3,wenig Detailgrad,Original,0
36,orig3p8.png,10.0,1.001411,Person3,wenig Detailgrad,Original,0
61,orig3p7.png,10.0,2.280476,Person3,wenig Detailgrad,Original,0
71,orig3p6.png,10.0,1.042227,Person3,wenig Detailgrad,Original,0
112,orig3p5.png,9.0,1.580503,Person3,wenig Detailgrad,Original,0
149,orig3p2.png,10.0,1.828118,Person3,wenig Detailgrad,Original,0
159,orig3p4.png,10.0,1.314561,Person3,wenig Detailgrad,Original,0
252,orig3p3.png,8.0,1.210571,Person3,wenig Detailgrad,Original,0
50,orig3p8.png,9.0,1.169613,Person4,wenig Detailgrad,Original,0
62,orig3p1.png,8.0,0.979117,Person4,wenig Detailgrad,Original,0
73,orig3p7.png,7.0,1.476677,Person4,wenig Detailgrad,Original,0
91,orig3p2.png,6.0,2.990319,Person4,wenig Detailgrad,Original,0
117,orig3p3.png,7.0,1.036059,Person4,wenig Detailgrad,Original,0
244,orig3p5.png,5.0,1.511534,Person4,wenig Detailgrad,Original,0
246,orig3p9.png,8.0,1.774147,Person4,wenig Detailgrad,Original,0
308,orig3p10.png,7.0,1.3823,Person4,wenig Detailgrad,Original,0
328,orig3p4.png,10.0,1.467972,Person4,wenig Detailgrad,Original,0
353,orig3p6.png,7.0,2.311252,Person4,wenig Detailgrad,Original,0
50,orig3p8.png,8.0,1.141231,Person5,wenig Detailgrad,Original,0
62,orig3p1.png,10.0,0.933324,Person5,wenig Detailgrad,Original,0
73,orig3p7.png,10.0,1.35329,Person5,wenig Detailgrad,Original,0
91,orig3p2.png,10.0,0.976069,Person5,wenig Detailgrad,Original,0
117,orig3p3.png,10.0,7.546046,Person5,wenig Detailgrad,Original,0
244,orig3p5.png,4.0,0.714816,Person5,wenig Detailgrad,Original,0
246,orig3p9.png,2.0,0.643657,Person5,wenig Detailgrad,Original,0
308,orig3p10.png,8.0,1.184209,Person5,wenig Detailgrad,Original,0
328,orig3p4.png,9.0,1.130713,Person5,wenig Detailgrad,Original,0
353,orig3p6.png,10.0,1.284365,Person5,wenig Detailgrad,Original,0
9,orig3p6.png,10.0,1.363617,Person6,wenig Detailgrad,Original,0
33,orig3p8.png,10.0,2.368785,Person6,wenig Detailgrad,Original,0
34,orig3p9.png,7.0,8.658815,Person6,wenig Detailgrad,Original,0
48,orig3p7.png,10.0,1.253387,Person6,wenig Detailgrad,Original,0
112,orig3p2.png,10.0,1.401169,Person6,wenig Detailgrad,Original,0
217,orig3p1.png,7.0,3.620848,Person6,wenig Detailgrad,Original,0
232,orig3p4.png,8.0,2.222011,Person6,wenig Detailgrad,Original,0
265,orig3p5.png,8.0,2.803683,Person6,wenig Detailgrad,Original,0
